title,link,address
Annisa Queen Hospital,https://lewatmana.com/lokasi/38596/annisa-queen-hospital/,"Jl. Jenderal Sudirman No.204 Karangpawitan Kabupaten Garut, Garut, Jawa Barat, Indonesia 44182"
Bethsaida Hospital,https://lewatmana.com/lokasi/37134/bethsaida-hospital/,"District Tivolli No.1, Paramount Serpong, Tangerang, Banten, Indonesia 15810"
BPRSU Rantauprapat,https://lewatmana.com/lokasi/21880/bprsu-rantauprapat/,"Jl. K.H. Dewantara No. 129 Rantauprapat, Labuhanbatu, Sumatera Utara, Indonesia"
Ciputra Hospital Citra Garden City,https://lewatmana.com/lokasi/45716/ciputra-hospital-citra-garden-city/,"Jl. Boulevard Blok G 01 No. 01, Citra 5 - CitraGarden City, RW.16, Prepedan, Kalideres, RW.16, Jakarta Barat, DKI Jakarta, Indonesia 11830"
Columbia Asia Hospital Medan,https://lewatmana.com/lokasi/46310/columbia-asia-hospital-medan/,"Jl. Listrik No.2A, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara, Medan, Sumatera Utara, Indonesia 20112"
Bank CIMB Niaga V Point,https://lewatmana.com/lokasi/43809/bank-cimb-niaga-v-point/,"Ruko V Point Blok ZA & ZB, Jl. Pajajaran No. 1, Bogor, Jawa Barat, Indonesia"
BPRSU Dr.Tengku Mansyur,https://lewatmana.com/lokasi/21896/bprsu-drtengku-mansyur/,"Jl. Mayjend Sutoyo No. 21, Tanjungbalai, Sumatera Utara, Indonesia"
Bunda Aliyah,https://lewatmana.com/lokasi/24956/bunda-aliyah/,"Jl. Pahlawan Revolusi No. 100, Jakarta Timur, DKI Jakarta, Indonesia 13430"
Ciputra Mitra Hospital Banjarmasin,https://lewatmana.com/lokasi/46089/ciputra-mitra-hospital-banjarmasin/,"Jl Ahmad Yani KM. 7,8 Manarap Lama, Pemurus Dalam, Kec. Kertak Hanyar, Kota Banjarmasin, Kalimantan, Banjarmasin, Kalimantan Selatan, Indonesia 70654"
Columbia Asia Hospital Pulomas,https://lewatmana.com/lokasi/45764/columbia-asia-hospital-pulomas/,"No.1, Jl. Kayu Putih Raya, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur., Jakarta Timur, DKI Jakarta, Indonesia 13210"
Dr. Adniyah S.N,https://lewatmana.com/lokasi/39297/dr-adniyah-sn/,"Jl. Langsep No. 3 Kertosono, Nganjuk, Jawa Timur, Indonesia"
Dr. H. Achmad Noeroel Cholis,https://lewatmana.com/lokasi/39294/dr-h-achmad-noeroel-cholis/,"Jl. Dr. Sutomo 62, Kab. Nganjuk, Nganjuk, Jawa Timur, Indonesia 64415"
"Jl. Kartini, Kali Rejo, Kalirejo, Kabupaten Lampung Tengah, Lampung",https://lewatmana.com/lokasi/46141/jl-kartini-kali-rejo-kalirejo-kabupaten-lampung-tengah-lampung/,"Jl. Kartini No.109, Kali Rejo, Kalirejo, Kabupaten Lampung Tengah, Lampung, Lampung Tengah, Lampung, Indonesia 34174"
MRCCC Siloam Hospitals Semanggi,https://lewatmana.com/lokasi/45728/mrccc-siloam-hospitals-semanggi/,"Kav. 2 - 3, Dalam, Jl. Garnisun, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan., Jakarta Selatan, DKI Jakarta, Indonesia 12930"
PMI Surabaya,https://lewatmana.com/lokasi/45987/pmi-surabaya/,"Jalan Emb. Ploso No.7-15, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur, Surabaya, Jawa Timur, Indonesia 60271"
"Dr. Agus Pribadi, MM",https://lewatmana.com/lokasi/39296/dr-agus-pribadi-mm/,"Jl. Supriadi No. 29 Kertosono, Nganjuk, Jawa Timur, Indonesia 64311"
Dr. Hj. Satifah Elfiansih,https://lewatmana.com/lokasi/39299/dr-hj-satifah-elfiansih/,"Jl. Imam Bonjol No. 20, Kec. Nganjuk, Nganjuk, Jawa Timur, Indonesia 64418"
Mabarrot MWC NU,https://lewatmana.com/lokasi/39150/mabarrot-mwc-nu/,"Jalan Raya Bungah Dukun No.63 Bungah Gresik, Gresik, Jawa Timur, Indonesia 61152"
PKU Muhammadiyah Rogojampi,https://lewatmana.com/lokasi/39053/pku-muhammadiyah-rogojampi/,"Jalan Diponegoro Nomor 20 Rogojampi, Banyuwangi, Jawa Timur, Indonesia 68462"
RB. HARAPAN IBU PERUMNAS,https://lewatmana.com/lokasi/21940/rb-harapan-ibu-perumnas/,"Jl. Mangga Raya Cibodas Sari No. 3, Tangerang, Banten, Indonesia"
RB & klinik Tiara Bunda,https://lewatmana.com/lokasi/37803/rb-klinik-tiara-bunda/,"Jl. Raya Perjuangan No.1 Teluk Pucung, Bekasi, Jawa Barat, Indonesia 17121"
RSAB Aprilia,https://lewatmana.com/lokasi/38854/rsab-aprilia/,"Jl. Gatot Subroto 95 Cilacap, Cilacap, Jawa Tengah, Indonesia 53224"
RSAB Kasih Bunda,https://lewatmana.com/lokasi/39200/rsab-kasih-bunda/,"Jl. Jaya Wijaya No.1, Pare Kediri, Kediri, Jawa Timur, Indonesia 64213"
RSAB Muhammadiyah,https://lewatmana.com/lokasi/39389/rsab-muhammadiyah/,"Jl. Diponegoro No.1 Tuban, Tuban, Jawa Timur, Indonesia 62314"
RSAB Muslimat,https://lewatmana.com/lokasi/39183/rsab-muslimat/,"Jl. Urip Sumoharjo 32-34 Jombang, Jombang, Jawa Timur, Indonesia 61419"
RIS Hospital,https://lewatmana.com/lokasi/45828/ris-hospital/,"Ac, 22, Jl. Komp. Astek, Lengkong Gudang Tim., Kec. Serpong, Kota Tangerang Selatan, Banten, Tangerang Selatan, Banten, Indonesia 15321"
RS Abdi Waluyo,https://lewatmana.com/lokasi/4726/rs-abdi-waluyo/,"Jalan HOS. Cokroaminoto No.31-33 Menteng Gondangdia, Jakarta Pusat, DKI Jakarta, Indonesia 10310"
RSAB Muhammadiyah,https://lewatmana.com/lokasi/39444/rsab-muhammadiyah/,"Jl. KH. Wahid Hasyim 26, 30 Malang, Malang, Jawa Timur, Indonesia 65119"
RSAB Muhammadiyah Kota Probolinggo,https://lewatmana.com/lokasi/39474/rsab-muhammadiyah-kota-probolinggo/,"Jl. Panglima Sudirman No. 65, Probolinggo, Jawa Timur, Indonesia 67214"
RS Adam Talib,https://lewatmana.com/lokasi/37793/rs-adam-talib/,"Jl. Teuku Umar No 25 Cikarang, Bekasi, Jawa Barat, Indonesia 17530"
RS Adhyaksa,https://lewatmana.com/lokasi/45765/rs-adhyaksa/,"Jl. Raya Hankam No.60, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jakarta Timur, DKI Jakarta, Indonesia 13820"
RS Adi Husada Pusat,https://lewatmana.com/lokasi/39491/rs-adi-husada-pusat/,"Jl. Undaan Wetan 40-44, Surabaya, Surabaya, Jawa Timur, Indonesia 60272"
RSAD Udayana Denpasar,https://lewatmana.com/lokasi/39325/rsad-udayana-denpasar/,"Jl. P.B Sudirman No.1 Denpasar, Denpasar, Bali, Indonesia 80113"
RS Advent Manado,https://lewatmana.com/lokasi/46242/rs-advent-manado/,"Jl. 14 Februari, Teling Atas, Kec. Wanea, Kota Manado, Sulawesi Utara, Manado, Sulawesi Utara, Indonesia 951126"
RS Agung,https://lewatmana.com/lokasi/4740/rs-agung/,"Jl. Sultan Agung No.67 Manggarai, Jakarta Selatan, DKI Jakarta, Indonesia 12850"
RS Adi Husada Kapasari,https://lewatmana.com/lokasi/38172/rs-adi-husada-kapasari/,"Jl. Kapasari No. 97-101 Kapasan, Surabaya, Jawa Timur, Indonesia 60141"
RS Adi Husada Undaan Wetan,https://lewatmana.com/lokasi/38174/rs-adi-husada-undaan-wetan/,"Jalan Undaan Wetan No. 40 - 44 Surabaya, Surabaya, Jawa Timur, Indonesia 60272"
RS Advent Bandung,https://lewatmana.com/lokasi/38120/rs-advent-bandung/,"Jalan Cihampelas No. 161, Cipaganti, Coblong, Bandung, Jawa Barat, Indonesia 40131"
RS Advent Medan,https://lewatmana.com/lokasi/46311/rs-advent-medan/,"Jl. Gatot Subroto No.Km 4, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara, Medan, Sumatera Utara, Indonesia 20118"
RS Agung Mulia,https://lewatmana.com/lokasi/39307/rs-agung-mulia/,"jl. Sasuit Tubun, Kec. Pacitan, Pacitan, Jawa Timur, Indonesia 63514"
RS Airlangga,https://lewatmana.com/lokasi/39188/rs-airlangga/,"Jl. Airlangga, No. 50C Jelakombo, Jombang, Jawa Timur, Indonesia 61412"
RS Aisyiyah Bojonegoro,https://lewatmana.com/lokasi/39077/rs-aisyiyah-bojonegoro/,"JL. Hashim Ashaari, No. 17, Bojonegoro, Bojonegoro, Jawa Timur, Indonesia 62113"
RS Aisyiyah Muntilan,https://lewatmana.com/lokasi/38943/rs-aisyiyah-muntilan/,"JL. KH Ahmad Dahlan No. 24 Muntilan, Magelang, Jawa Tengah, Indonesia 56414"
RS Akabri Pol Semarang,https://lewatmana.com/lokasi/39120/rs-akabri-pol-semarang/,"Jl. Sultan Agung Candi Baru Komplek AKPOL, Semarang, Jawa Tengah, Indonesia 50232"
RS Al - Arif,https://lewatmana.com/lokasi/38653/rs-al-arif/,"JL. Laks L RE Martadinata, No. 158-B Kec. Ciamis, Ciamis, Jawa Barat, Indonesia 46211"
RS Aisyiah Ponorogo,https://lewatmana.com/lokasi/39337/rs-aisyiah-ponorogo/,"Jl. Dr Sutomo 18 - 24, Ponorogo, Ponorogo, Jawa Timur, Indonesia 63419"
RS Aisyiyah Kudus,https://lewatmana.com/lokasi/38938/rs-aisyiyah-kudus/,"Jl. HOS. Cokroaminoto No. 248 Kudus, Kudus, Jawa Tengah, Indonesia 59319"
RS Aisyiyah Siti Fatimah Tulangan,https://lewatmana.com/lokasi/39375/rs-aisyiyah-siti-fatimah-tulangan/,"Jl. Raya Kenongo No.14 RT 1 RW 1 Tulangan, Sidoarjo, Jawa Timur, Indonesia 61273"
RS Akademis Jaury Makassar,https://lewatmana.com/lokasi/46203/rs-akademis-jaury-makassar/,"Jl. Jend. M. Jusuf No.57A, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan, Makassar, Sulawesi Selatan, Indonesia 90156"
RS AL-AZIZ,https://lewatmana.com/lokasi/39191/rs-al-aziz/,"JL Raya Tembelang, Kec. Jombang, Jombang, Jawa Timur, Indonesia 61452"
RS AL Batuporon,https://lewatmana.com/lokasi/39039/rs-al-batuporon/,"Jl. Mawar Madura, Kab Bangkalan, Bangkalan, Jawa Timur, Indonesia 031"
RSAL Dr Ramelan Surabaya,https://lewatmana.com/lokasi/45989/rsal-dr-ramelan-surabaya/,"Jl. Gadung No.1, Jagir, Kec. Wonokromo, Kota SBY, Jawa Timur, Surabaya, Jawa Timur, Indonesia 60244"
RS AL Gunungsari,https://lewatmana.com/lokasi/39481/rs-al-gunungsari/,"Jl. Golf No. 1 Surabaya, Surabaya, Jawa Timur, Indonesia 60224"
RSAL Ilyas Tarakan,https://lewatmana.com/lokasi/46117/rsal-ilyas-tarakan/,"Jl. RE Martadinata No.65, Pamusian, Tarakan Tengah, Kota Tarakan, Kalimantan Utara, Tarakan, Kalimantan Timur, Indonesia 77111"
RS Ali Sibroh Malisi,https://lewatmana.com/lokasi/24957/rs-ali-sibroh-malisi/,"Jalan Warung Silah No. 1 Jagakarsa RT. 08 RW. 05, Jakarta Selatan, DKI Jakarta, Indonesia 12630"
RS AL Dr. Ramelan,https://lewatmana.com/lokasi/38218/rs-al-dr-ramelan/,"Jalan Gadung No.1 Surabaya, Surabaya, Jawa Timur, Indonesia 60244"
RS Al Faudi,https://lewatmana.com/lokasi/46306/rs-al-faudi/,"Jl. Jenderal Ahmad Yani No.23, Kartini, Kec. Binjai Kota, Kota Binjai, Sumatera Utara, Binjai, Sumatera Utara, Indonesia 20742"
RS Al Huda Genteng,https://lewatmana.com/lokasi/39044/rs-al-huda-genteng/,"JL. Raya Gambiran, No. 225, Genteng, Banyuwangi, Jawa Timur, Indonesia 68486"
RS Al-Irsyad,https://lewatmana.com/lokasi/38175/rs-al-irsyad/,"Jl. KH. Mas Mansyur 210-214, Surabaya, Jawa Timur, Indonesia 60162"
RS Al Islam,https://lewatmana.com/lokasi/38115/rs-al-islam/,"Jl. Soekarno Hatta No. 644, Bandung, Jawa Barat, Indonesia"
RS AL Juanda,https://lewatmana.com/lokasi/39359/rs-al-juanda/,"Jl. Bachtiar Yahya No.1 Juanda, Kab. Sidoarjo, Sidoarjo, Jawa Timur, Indonesia 61253"
RSAL Tanjung Perak,https://lewatmana.com/lokasi/38207/rsal-tanjung-perak/,"JL. Laksda M Nasir No. 56,, Surabaya, Jawa Timur, Indonesia"
RS Amal Sehat,https://lewatmana.com/lokasi/39086/rs-amal-sehat/,"Jl. Ngerjopuro RT.02/RW.03,Slogohimo Wonogiri, Wonogiri, Jawa Tengah, Indonesia 57694"
RS Amanda Mitra Keluarga,https://lewatmana.com/lokasi/45945/rs-amanda-mitra-keluarga/,"Karyamukti, Lemahabang, Kabupaten Karawang, Jawa Barat, Karawang, Jawa Barat, Indonesia 41383"
RS Amelia,https://lewatmana.com/lokasi/39196/rs-amelia/,"Jl. Pahlawan No.25A Pare - Kediri, Kediri, Jawa Timur, Indonesia 64213"
RS AL Pal Surabaya,https://lewatmana.com/lokasi/38209/rs-al-pal-surabaya/,"JL. Taruna, No. 66-68, Ujung, Semampir, Surabaya, Jawa Timur, Indonesia 60155"
RS Amalia Bontang,https://lewatmana.com/lokasi/46109/rs-amalia-bontang/,"JL. Letjend, Jl. R. Suprapto No.22, Bontang Baru, Bontang Utara, Kota Bontang, Kalimantan Timur, Bontang, Kalimantan Timur, Indonesia 75311"
RS Amanah Mahmudah,https://lewatmana.com/lokasi/38848/rs-amanah-mahmudah/,"JL. Jenderal Sudirman No. 06 Sitanggal Larangan, Brebes, Jawa Tengah, Indonesia 52262"
RS AMC Bandung,https://lewatmana.com/lokasi/45916/rs-amc-bandung/,"Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat, Kabupaten Bandung, Jawa Barat, Indonesia 40622"
RS Aminah,https://lewatmana.com/lokasi/37759/rs-aminah/,"Jl. HOS Cokroaminoto ( Ciledug Raya ) No. 4A Kreo Selatan, Larangan, Ciledug, Tangerang, Banten, Indonesia 15156"
RS Amira Purwakarta,https://lewatmana.com/lokasi/38729/rs-amira-purwakarta/,"Jalan Ipik Gandamanah RT 35 RW 03 Munjul Jaya Kec. Purwakarta, Purwakarta, Jawa Barat, Indonesia 41117"
RS Ananda,https://lewatmana.com/lokasi/45862/rs-ananda/,"Jl. Sultan Agung No.173, Medan Satria, Medan Satria, Kota Bks, Jawa Barat, Depok, Jawa Barat, Indonesia 17132"
RS Andhika Jakarta,https://lewatmana.com/lokasi/45729/rs-andhika-jakarta/,"RSB Andhika, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan., Jakarta Selatan, DKI Jakarta, Indonesia 12630"
