No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total Ranjang"
1,1771009,RS Gading Medika,RSU,C,Swasta,112
2,1703046,RSUD Lagita,RSU,D PRATAMA,Pemkab,50
3,1701016,RS As-syifa,RSU,D,Swasta,58
4,1706020,RS Ibu dan Anak AL-Barra,RSIA,C,Swasta,19
5,1771007,RS Umum Ummi,RSU,C,Swasta,53
6,1771002,RS Umum Daerah Harapan dan Doa,RSU,C,Pemkot,94
7,1771062,RS Tiara Sella,RSU,C,Perusahaan,77
8,1703045,RS Hana Charitas Arga Makmur,RSU,D,Organisasi Katholik,63
9,1702034,RS Pembantu Curup Bengkulu,RSU,D,TNI AD,22
10,1704028,RS Umum Daerah Kaur,RSU,C,Pemkab,108
11,1709038,RS Umum Daerah Bengkulu Tengah,RSU,D,Pemkab,64
12,1771051,RS Bhayangkara Jitra Kota Bengkulu,RSU,C,POLRI,100
13,1771040,RS Tk. IV Bengkulu,RSU,D,TNI AD,66
14,1771036,RS Rafflesia Bengkulu,RSU,C,Organisasi Sosial,68
15,1771025,RS Jiwa Soeprapto Provinsi Bengkulu,RSK Jiwa,B,Pemprop,295
16,1771014,RS Umum Daerah Dr. M. Yunus Bengkulu,RSU,B,Pemprop,216
17,1708010,RS Umum Daerah Kepahiang,RSU,C,Pemkab,124
18,1706019,RS Umum Daerah Mukomuko,RSU,C,Pemkab,87
19,1705018,RS Umum Daerah Tais Kabupaten Seluma,RSU,D,Pemkab,49
20,1703027,RS Bergerak Enggano,RSU,D,Pemkab,10
21,1703016,RS Umum Daerah Arga Makmur,RSU,C,Pemkab,121
22,1707026,RS Umum Daerah Lebong,RSU,D,Pemkab,50
23,1702015,RS Umum Daerah Curup,RSU,C,Pemkab,136
24,1701014,RS Umum Daerah Hasanuddin Damrah Manna,RSU,C,Pemkab,144
