No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total
Ranjang"
1,3401058,RS Umum Queen Latifa,RSU,D,Swasta,18
2,3402084,RS Universitas Islam Indonesia,RSU,C,Swasta,39
3,3402082,RS Khusus Ibu dan Anak Adinda,RSIA,C,Swasta,26
4,3403025,RS Bethesda Wonosari,RSU,D,Organisasi Protestan,14
5,3471380,RS Siloam Yogyakarta,RSU,C,Perusahaan,52
6,3402081,Rumah Sakit Bedah Adelia,RSK BEDAH,C,Swasta,18
7,3471379,RS Khusus Ibu dan Anak Rachmi,RSIA,C,Perusahaan,11
8,3471378,RS Khusus Ibu dan Anak Fajar,RSIA,C,Swasta,15
9,3401053,RS Umum Pura Raharja Medika,RSU,D,Swasta,38
10,3402080,RS Khusus Ibu dan Anak Kahyangan,RSIA,C,Perusahaan,13
11,3471377,UPT Rumah Sakit Pratama Kota Yogyakarta,RSU,D,Pemkot,46
12,3404193,RS Umum Hermina Yogya,RSU,C,Perusahaan,45
13,3403024,RS Umum PKU Muhammadiyah Wonosari,RSU,D,Organisasi Islam,34
14,3404191,RS Universitas Ahmad Dahlan,RSU,D,Swasta,49
15,3401052,RS Umum Daerah Nyi Ageng Serang,RSU,C,Pemkab,62
16,3403023,RS Umum Panti Rahayu,RSU,C,Swasta,42
17,3404190,RS Umum Mitra Sehat,RSU,D,Perusahaan,30
18,3404189,RSA UGM,RSU,B,Universitas Gadjah Mada,135
19,3402077,RS Umum Griya Mahardika Yogyakarta,RSU,C,Perusahaan,66
20,3471121,RS Paru Respira,RSK PARU,C,Pemprop,26
21,3404187,RS Khusus Ibu Anak Sadewa,RSIA,C,Perusahaan,42
22,3403022,RS Umum Pelita Husada,RSU,D,Perorangan,43
23,3404185,RS Khusus Bedah Sinduadi,RSK BEDAH,C,Perusahaan,17
24,3401051,RS Umum Rizki Amalia,RSU,D,Swasta,39
25,3401050,RS Umum PKU Muhammadiyah Nanggulan,RSU,D,Organisasi Sosial,34
26,3402076,RS Khusus Bedah Ring Road Selatan,RSK BEDAH,C,Swasta,22
27,3471374,RS Khusus Gigi dan Mulut Universitas Muhammadiyah,RSK GM,B,Swasta,3
28,3401049,RS Umum PKU Muhammadiyah Wates,RSU,D,Organisasi Islam,0
29,3404184,RS Umum Bhayangkara POLDA DIY,RSU,D,POLRI,44
30,3404183,RS Umum PKU Muhammadiyah Gamping,RSU,C,Organisasi Sosial,143
31,3404182,RS Umum Gramedika 10,RSU,D,Perusahaan,23
32,3404181,RS Umum At-Turost Al-Islamy,RSU,D,Organisasi Islam,42
33,3471107,RS Khusus Ibu dan Anak PKU Muhammadiyah Kotagede,RSIA,C,Organisasi Islam,31
34,3404180,RS Ibu Anak Arvita Bunda,RSIA,C,Organisasi Sosial,23
35,3404179,RS Umum Mitra Paramedika,RSU,D,Organisasi Sosial,48
36,3404056,RS Jih,RSU,B,Perusahaan,213
37,3404168,RS Umum Daerah Prambanan,RSU,C,Pemkab,89
38,3404092,RSU Puri Husada Yogyakarta,RSU,D,Swasta,0
39,3404081,RS Umum Condong Catur,RSU,D,Swasta,42
40,3404045,RS Umum Queen Latifa,RSU,D,Swasta,39
41,3402086,RS Rajawali Citra,RSU,D,Organisasi Sosial,49
42,3402064,RS Umum Rachma Husada,RSU,D,Organisasi Sosial,62
43,3401048,RS Umum Kharisma Paramedika,RSU,D,Swasta,43
44,3402075,RS Umum Permata Husada,RSU,D,Organisasi Sosial,14
45,3471373,RS Happy Land Medical Centre,RSU,D,Swasta,42
46,3471362,RS Khusus Gigi Mulut Prof. Soedomo FKG UGM,RSK GM,A,BUMN,0
47,3471336,RS Bethesda Lempuyangwangi,RSU,D,Organisasi Sosial,34
48,3471325,RS Khusus Ibu dan Anak Permata Bunda,RSIA,C,Organisasi Sosial,20
49,3471314,RSK THT Prof R Oepomo,RSK THT-KL,Belum Ditetapkan,Organisasi Sosial,0
50,3471303,RS Khusus Ibu dan Anak 45 Prof. Dr. Ismangoen,RSIA,C,Organisasi Sosial,15
51,3471293,RSK THT Sari Asih,RSK THT-KL,Belum Ditetapkan,Organisasi Sosial,0
52,3471282,RS Ludira Husada Tama,RSU,D,Organisasi Sosial,32
53,3471256,RS Khusus Ibu dan Anak Bhakti Ibu,RSIA,C,Organisasi Sosial,15
54,3471234,RS Umum Daerah Kota Yogyakarta,RSU,B,Pemkot,137
