No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,Total Ranjang
1,7501044,RS Daerah Kelas D Pratama,RSU,D,Pemkab,50
2,7571023,RS Multazam,RSU,D,Swasta,114
3,7502034,RS Umum Daerah dr. Hasri Ainun Habibie,RSU,C,Pemprop,117
4,7505002,RS Umum Daerah dr. Zainal Umar Sidiki,RSU,C,Pemkab,96
5,7571022,RS Ibu dan Anak Siti Khadidjah,RSIA,C,Organisasi Islam,60
6,7571021,RS Bunda,RSU,D,Perusahaan,111
7,7504012,RS Umum Daerah Tombulilato,RSU,D,Pemkab,84
8,7502021,RS Islam,RSU,D,Organisasi Sosial,53
9,7502032,RS Umum Daerah Otanaha,RSU,D,Pemkot,90
10,7571010,RS Umum Daerah Prof Dr. H. Aloei Saboe,RSU,B,Pemkot,313
11,7503045,RS Umum Daerah Bumi Panua,RSU,C,Pemkab,97
12,7501043,RS Umum Daerah Tani dan Nelayan,RSU,C,Pemkab,125
13,7504032,RS Umum Daerah Toto Kabila,RSU,C,Pemkab,185
14,7502033,RS Umum Daerah dr. M. Mohammad Dunda,RSU,B,Pemkab,172
