№,Kode,Nama Rumah Sakit,Jenis,Tipe,Alamat
1.,3171792,RSUD Jagakarsa,RSUD,D,"Jalan Moh. Kahfi I №27A, Jagakarsa, Kec. Jagakarsa, Kota Administrasi Jakarta Selatan, DKI Jakarta 12630"
2.,3171800,RSUD Jati Padang,RSUD,D,"Jalan Raya Ragunan №16, Pasar Minggu, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12740"
3.,3171801,RSUD Kebayoran Baru,RSUD,D,"Jalan Abdul Majid Raya №28, Cipete Utara, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12150"
4.,3171803,RSUD Kebayoran Lama,RSUD,D,"Jalan Jatayu №12, Kebayoran Lama Selatan, Kec. Kebayoran Lama, Kota Administrasi Jakarta Selatan, DKI Jakarta 12240"
5.,3171793,RSUD Mampang Prapatan,RSUD,D,"Jalan Kapten Tendean №9, Mampang Prapatan, Kec. Mampang Prapatan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12710"
6.,3171795,RSUD Pasar Minggu,RSUD,B,"Jalan TB Simatupang №1, Ragunan, Kec. Pasar Minggu, Kota Administrasi Jakarta Selatan, DKI Jakarta 12550"
7.,3171791,RSUD Pesanggrahan,RSUD,D,"Jalan Cenek I №1, Pesanggrahan, Kec. Pesanggrahan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12320"
8.,3171790,RSUD Tebet,RSUD,D,"Jalan Prof. dr. Soepomo SH №54, Tebet Barat, Kec. Tebet, Kota Administrasi Jakarta Selatan, DKI Jakarta 12810"
9.,3171632,RS Agung,RS,C,"Jalan Sultan Agung №67, Pasar Manggis, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, DKI Jakarta 12970"
10.,3171798,RS Ali Sibroh Malisi,RS,D,"Jalan Warung Sila №1, Ciganjur, Kec. Jagakarsa, Kota Administrasi Jakarta Selatan, DKI Jakarta 12630"
11.,3171746,RS Aulia Jakarta,RS,C,"Jalan Jeruk Raya №15, Jagakarsa, Kec. Jagakarsa, Kota Administrasi Jakarta Selatan, DKI Jakarta 12620"
12.,3171083,RS Avisena,RS,C,"Jalan H. Rohimin №142, Ulujami, Kec. Pesanggrahan, Kota Administrasi Jakarta Selatan, DKI Jakarta 12250"
13.,3171785,RS Bhayangkara Sespimma,RS,D,"Jalan Ciputat Raya №40, Pondok Pinang, Kec. Kebayoran Lama, Kota Administrasi Jakarta Selatan, DKI Jakarta 12310"
14.,3171757,RS Brawijaya Duren Tiga,RS,B,"Jalan Duren Tiga №5, Pancoran, Kec. Pancoran, Kota Administrasi Jakarta Selatan, DKI Jakarta 12780"
15.,3171728,RS Brawijaya Jakarta,RS,B,"Jalan Taman Brawijaya №1, Cipete Utara, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12150"
16.,3171060,RS Dharmawangsa,RS Jiwa,A,"Jalan Dharmawangsa №13, Pulo, Kec. Kebayoran Baru, Kota Administrasi Jakarta Selatan, DKI Jakarta 12160"
