№,Kode,Nama Rumah Sakit,Jenis,Tipe,Alamat
1.,3172024,RSUD Budhi Asih,RSUD,B,"Jalan Dewi Sartika №200, Cawang, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13640"
2.,3172771,RSUD Cipayung,RSUD,D,"Jalan Mini III №4, Bambu Apus, Kec. Cipayung, Kota Administrasi Jakarta Timur, DKI Jakarta 13890"
3.,3172762,RSUD Ciracas,RSUD,D,"Jalan Cibubur I №1, Cibubur, Kec. Ciracas, Kota Administrasi Jakarta Timur, DKI Jakarta 13720"
4.,3172761,RSUD Kramatjati,RSUD,D,"Jalan Raya Inpres №48, Tengah, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13540"
5.,3174523,RSUD Matraman,RSUD,D,"Jalan Kebon Kelapa №29, Utan Kayu Selatan, Kec. Matraman, Kota Administrasi Jakarta Timur, DKI Jakarta 13120"
6.,3172126,RSUD Pasar Rebo,RSUD,B,"Jalan T.B Simatupang №30, Gedong, Kec. Pasar Rebo, Kota Administrasi Jakarta Timur, DKI Jakarta 13760"
7.,3172757,RS Adhyaksa,RS,C,"Jalan Mabes Hankam №60, Ceger, Kec. Cipayung, Kota Administrasi Jakarta Timur, DKI Jakarta 13820"
8.,3172747,RS Admira,RS,C,"Jalan Kayu Putih №16, Kayu Putih, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13260"
9.,3172765,RS Al-Fauzan,RS,D,"Jalan Pedati №3, Tengah, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13540"
10.,3172753,RS Antam Medika,RS,C,"Jalan Pemuda №1A, Jatinegara Kaum, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13210"
11.,3172301,RS Bedah Rawamangun,RS Bedah,C,"Jalan Balai Pustaka №29, Rawamangun, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13220"
12.,3172072,RS Bhayangkara Raden Said Sukanto,RS,A,"Jalan Raya Bogor №1, Kramat Jati, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13510"
13.,3172752,RS Bina Waluya,RS Jantung,C,"Jalan T.B Simatupang №71, Susukan, Kec. Ciracas, Kota Administrasi Jakarta Timur, DKI Jakarta 13750"
14.,3172758,RS Columbia Asia Pulomas,RS,C,"Jalan Kayu Putih №1, Kayu Putih, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13210"
15.,3172702,RS Dharma Nugraha,RS,B,"Jalan Balai Pustaka Baru №19, Rawamangun, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13220"
16.,3172061,RS dr. Esnawan Antariksa,RS,B,"Jalan Merpati №2, Halim Perdana Kusuma, Kec. Makasar, Kota Administrasi Jakarta Timur, DKI Jakarta 13610"
17.,3172769,RS dr. Euis,RS,C,"Jalan H. Naman №3, Pondok Kelapa, Kec. Duren Sawit, Kota Administrasi Jakarta Timur, DKI Jakarta 13450"
18.,3172746,RS Duren Sawit,RS Jiwa,A,"Jalan Duren Sawit Baru №2, Pondok Bambu, Kec. Duren Sawit, Kota Administrasi Jakarta Timur, DKI Jakarta 13430"
19.,3172724,RS Haji Jakarta,RS,B,"Jalan Raya Pondok Gede №4, Lubang Buaya, Kec. Makasar, Kota Administrasi Jakarta Timur, DKI Jakarta 13650"
20.,3172553,RS Harapan Bunda,RS,B,"Jalan Raya Bogor №42, Rambutan, Kec. Ciracas, Kota Administrasi Jakarta Timur, DKI Jakarta 13830"
21.,3172531,RS Harapan Jayakarta,RS,C,"Jalan Raya Bekasi №18, Jatinegara, Kec. Cakung, Kota Administrasi Jakarta Timur, DKI Jakarta 13030"
22.,3172520,RS Harum Sisma Medika,RS,C,"Jalan Tarum Barat №13, Cipinang Melayu, Kec. Makasar, Kota Administrasi Jakarta Timur, DKI Jakarta 13620"
23.,3172243,RS Hermina Jatinegara,RS,B,"Jalan Jatinegara Barat №126, Kampung Melayu, Kec. Jatinegara, Kota Administrasi Jakarta Timur, DKI Jakarta 13320"
24.,3172505,RS Islam Jakarta Pondokkopi,RS,B,"Jalan Pondok Kopi №1, Pondok Kopi, Kec. Duren Sawit, Kota Administrasi Jakarta Timur, DKI Jakarta 13460"
25.,3172735,RS Islam Klender,RS Jiwa,C,"Jalan Bunga Rampai X №8, Malaka Jaya, Kec. Duren Sawit, Kota Administrasi Jakarta Timur, DKI Jakarta 13460"
26.,3172755,RS Jantung Jakarta,RS Jantung,B,"Jalan Matraman Raya №23, Palmeriam, Kec. Matraman, Kota Administrasi Jakarta Timur, DKI Jakarta 13140"
27.,3172516,RS Kartika Pulomas,RS,C,"Jalan Pulo Mas Timur №2, Kayu Putih, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13210"
28.,3172083,RS Kesdam Jaya,RS,C,"Jalan Mahoni №2, Gedong, Kec. Pasar Rebo, Kota Administrasi Jakarta Timur, DKI Jakarta 13760"
29.,3171435,RS Ketergantungan Obat,RS Jiwa,B,"Jalan Lapangan Tembak №75, Cibubur, Kec. Ciracas, Kota Administrasi Jakarta Timur, DKI Jakarta 13720"
30.,3172713,RS Mediros,RS,C,"Jalan Perintis Kemerdekaan №149, Pulo Gadung, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13260"
31.,3173084,RS Ridwan Meuraksa,RS,B,"Jalan Taman Mini I №4, Pinang Ranti, Kec. Makasar, Kota Administrasi Jakarta Timur, DKI Jakarta 13560"
32.,3172766,RS Olahraga Nasional,RS,C,"Jalan Jambore №1, Cibubur, Kec. Ciracas, Kota Administrasi Jakarta Timur, DKI Jakarta 13720"
33.,3172495,RS Omni Pulomas,RS,B,"Jalan Pulo Mas Barat VI №20, Kayu Putih, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13210"
34.,3172035,RS Pengayoman Cipinang,RS,D,"Jalan Raya Bekasi Timur №170, Cipinang Besar Utara, Kec. Jatinegara, Kota Administrasi Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450"
35.,3172206,RS Premier Jatinegara,RS,B,"Jalan Jatinegara Timur III №50, Rawa Bunga, Kec. Jatinegara, Kota Administrasi Jakarta Timur, DKI Jakarta 13310"
36.,3172749,RSPON dr. Mahar Mardjono,RS Otak,A,"Jalan Letjen M.T. Haryono №11, Cawang, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13630"
37.,3172050,RS Pusdikkes,RS,C,"Jalan Raya Bogor №24, Kramat Jati, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13510"
38.,3172767,RS SMEC Jakarta,RS Mata,C,"Jalan Pemuda №36, Rawamangun, Kec. Pulo Gadung, Kota Administrasi Jakarta Timur, DKI Jakarta 13220"
39.,3172094,RS Universitas Kristen Indonesia,RS,B,"Jalan Mayjen Sutoyo №2, Cawang, Kec. Kramat Jati, Kota Administrasi Jakarta Timur, DKI Jakarta 13530"
