№,Kode,Nama Rumah Sakit,Jenis,Tipe,Alamat
1.,3175414,RSUD Cilincing,RSUD,D,"Jalan Madya Kebantenan №4, Semper Timur, Kec. Cilincing, Kota Administrasi Jakarta Utara, DKI Jakarta 14130"
2.,3175016,RSUD Koja,RSUD,B,"Jalan Deli №4, Koja, Kec. Koja, Kota Administrasi Jakarta Utara, DKI Jakarta 14220"
3.,3175413,RSUD Pademangan,RSUD,D,"Jalan Budi Mulia Raya №2, Pademangan Barat, Kec. Pademangan, Kota Administrasi Jakarta Utara, DKI Jakarta 14420"
4.,3175416,RSUD Tanjungpriok,RSUD,D,"Jalan Bugis №3, Kebon Bawang, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14320"
5.,3175412,RSUD Tugu Koja,RSUD,D,"Jalan Walang Permai №39, Tugu Utara, Kec. Koja, Kota Administrasi Jakarta Utara, DKI Jakarta 14260"
6.,3175031,RS Atma Jaya,RS,B,"Jalan Pluit Raya №2, Penjaringan, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14440"
7.,3175182,RS Darurat Wisma Atlet,RS Darurat,A,"Jalan Rd.H. Keneng Mudatsir №13, Pademangan Timur, Kec. Pademangan, Kota Administrasi Jakarta Utara, DKI Jakarta 14360"
8.,3175411,RS Duta Indah,RS,C,"Jalan Teluk Gong Raya №12, Pejagalan, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14450"
9.,3175412,RS Hermina Podomoro,RS,A,"Jalan Danau Agung II №3, Sunter Agung, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14350"
10.,3175326,RS Islam Jakarta Sukapura,RS,C,"Jalan Tipar Cakung №5, Sukapura, Kec. Cilincing, Kota Administrasi Jakarta Utara, DKI Jakarta 14140"
11.,3175385,RS Mitra Keluarga Kelapagading,RS,B,"Jalan Raya Gading Kirana №2, Kelapa Gading Barat, Kec. Kelapa Gading, Kota Administrasi Jakarta Utara, DKI Jakarta 14240"
12.,3175417,RS Primasana,RS Mata,C,"Jalan Kebon Bawang №1, Kebon Bawang, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14320"
13.,3175064,RS dr. Sulianti Saroso,RS Penyakit Infeksi,A,"Jalan Sunter Permai Raya №2, Papanggo, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14340"
14.,3175330,RS Royal Progress,RS,B,"Jalan Danau Sunter Utara №14, Sunter Agung, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14350"
15.,3175363,RSIA Family,RSIA,C,"Jalan Pluit Mas I №5A, Pejagalan, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14450"
16.,3175409,RSIA Grand Family,RSIA,C,"Jalan Pantai Indah Selatan №1, Kamal Muara, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14470"
17.,3174509,RSIA Santo Yusuf,RSIA,C,"Jalan Ganggeng Raya №9, Sungai Bambu, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14140"
18.,3175408,RSU Firdaus,RSU,C,"Jalan Siak №14, Sukapura, Kec. Cilincing, Kota Administrasi Jakarta Utara, DKI Jakarta 14140"
19.,3175407,RSU Gading Pluit,RSU,B,"Jalan Boulevard Timur №1, Pegangsaan Dua, Kec. Kelapa Gading, Kota Administrasi Jakarta Utara, DKI Jakarta 14250"
20.,3175075,RSU Mulyasari,RSU,C,"Jalan Plumpang Semper №19, Tugu Utara, Kec. Koja, Kota Administrasi Jakarta Utara, DKI Jakarta 14260"
21.,3175352,RSU Pantai Indah Kapuk,RSU,B,"Jalan Pantai Indah Utara III №54, Kapuk Muara, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14460"
22.,3175410,RSU Pekerja,RSU,C,"Jalan Tipar Cakung №46, Sukapura, Kec. Cilincing, Kota Administrasi Jakarta Utara, DKI Jakarta 14140"
23.,3175042,RSU Pelabuhan Jakarta,RSU,C,"Jalan Kramat Jaya Raya №1, Tugu Utara, Kec. Koja, Kota Administrasi Jakarta Utara, DKI Jakarta 14260"
24.,3175341,RSU Pluit,RSU,B,"Jalan Pluit Selatan Raya №2, Pluit, Kec. Penjaringan, Kota Administrasi Jakarta Utara, DKI Jakarta 14450"
25.,3175396,RSU Port Medical Center,RSU,C,"Jalan Enggano №10, Tanjung Priok, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14310"
26.,3175374,RSU Puri Medika,RSU,C,"Jalan Sungai Bambu Raya №5, Sungai Bambu, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14320"
27.,3175315,RSU Satya Negara,RSU,C,"Jalan Agung Utara XXIV №1, Sunter Agung, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14350"
28.,3175181,RSU Sukmul Sisma Medika,RSU,C,"Jalan Tenggiri №18, Tanjung Priok, Kec. Tanjung Priok, Kota Administrasi Jakarta Utara, DKI Jakarta 14310"
