No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,Total Ranjang
1,6271028,RS Ibu dan Anak Yasmin Palangka Raya,RSIA,C,Swasta,22
2,6271029,RS Permata Hati Palangkaraya,RSU,C,Swasta,42
3,6271027,RS Awal Bros Betang Pambelum,RSU,C,Perusahaan,53
4,6202025,RS Kelas D Pratama Parenggean,RSU,D PRATAMA,Pemkab,0
5,6201013,RS Citra Husada Pangkalan Bun,RSU,D,Perusahaan,45
6,6271026,RS Umum Kelas D Kota Palangka Raya,RSU,D,Pemkot,51
7,6271025,RS Bhayangkara Palangka Raya,RSU,C,POLRI,55
8,6271024,RS Islam PKU Muhammadiyah Palangkaraya,RSU,D,Organisasi Islam,66
9,6271068,RS Jiwa Kalawa Atei,RSK Jiwa,C,Pemkab,46
10,6208013,RS Umum Daerah Hanau,RSU,D,Pemkab,28
11,6271030,RS Siloam Palangka Raya,RSU,C,Perusahaan,29
12,6271023,RS Tk.IV Palangkaraya,RSU,D,TNI AD,19
13,6271012,RS Umum Daerah Dr Doris Sylvanus Palangka Raya,RSU,B,Pemprop,336
14,6210015,RS Umum Daerah Pulang Pisau,RSU,C,Pemkab,103
15,6208014,RS Umum Daerah Kuala Pembuang,RSU,C,Pemkab,93
16,6207012,RS Umum Daerah Kabupaten Lamandau,RSU,C,Pemkab,90
17,6207033,RS Umum Daerah Sukamara,RSU,C,Pemkab,81
18,6213022,RS Umum Daerah Puruk Cahu,RSU,C,Pemkab,81
19,6205011,RS Umum Daerah Muara Teweh,RSU,C,Pemkab,109
20,6212020,RS Umum Daerah Tamiang Layang,RSU,C,Pemkab,84
21,6204016,RS Umum Daerah Jaraga Sasameh,RSU,C,Pemkab,113
22,6211026,RS Umum Daerah Kuala Kurun,RSU,C,Pemkab,46
23,6203015,RS Umum Daerah Dr H Soemarno S,RSU,C,Pemkab,121
24,6209024,RS Umum Daerah Mas Amsyar Kasongan,RSU,C,Pemkab,84
25,6202013,RS Umum Daerah Dr Murjani Sampit,RSU,B,Pemkab,244
26,6201012,RS Umum Daerah Sultan Imanuddin,RSU,B,Pemkab,213
