No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,Total Ranjang
1,6501013,RS Pratama Long Ampung,RSU,D PRATAMA,Pemkab,19
2,6503002,RS Umum Daerah Akhmad Berahim,RSU,D PRATAMA,Pemkab,13
3,6571044,RS Umum Kota Tarakan,RSU,C,Pemkot,73
4,6473043,RS Umum Pertamedika Tarakan,RSU,D,Perusahaan,36
5,6406012,RS Umum Daerah Kabupaten Malinau,RSU,C,Pemkab,163
6,6473042,RS AL Ilyas Tarakan,RSU,D,TNI AL,39
7,6473016,RS Umum Daerah Tarakan,RSU,B,Pemprop,335
8,6408025,RS Umum Daerah Kabupaten Nunukan,RSU,C,Pemkab,117
9,6408014,RS Pratama Langap,RSU,D PRATAMA,Pemkab,10
10,6404021,RS Umum Daerah Tanjung Selor,RSU,C,Pemkab,135
11,6504027,RS Pratama Sebatik,RSU,D PRATAMA,Pemkab,30
