No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total Ranjang"
1,1903005,RS Gunung Manik,RSU,D,Perusahaan,30
2,1901046,RS Umum Daerah Sjafrie Rachman Puding Besar,RSU,D PRATAMA,Pemkab,12
3,1971006,RS Ibu dan Anak Rona,RSIA,C,Swasta,26
4,1971005,RS Ibu dan Anak Dzakirah,RSIA,C,Perusahaan,31
5,1971004,RS Kalbu Intan Medika,RSU,C,Perusahaan,72
6,1904014,RS Siloam Bangka,RSU,C,Perusahaan,25
7,1902012,RS Utama,RSU,D,Perorangan,64
8,1901044,RS Umum Daerah DR. Eko Maulana Ali,RSU,D,Pemkab,49
9,1903002,RS Umum Bakti Timah Muntok,RSU,D,Perusahaan,24
10,1971003,RS Ibu dan Anak Muhaya,RSIA,C,Perusahaan,54
11,1901043,RS Umum Daerah Dr. (H.C.) Ir. Soekarno,RSU,B,Pemprop,93
12,1902011,RS Umum Almah,RSU,D,Swasta,32
13,1971002,RS Katolik Bhakti Wara,RSU,D,Organisasi Katholik,87
14,1902042,RS Umum Arsani,RSU,C,Swasta,66
15,1905026,RS Pratama Kriopanting Payung,RSU,D PRATAMA,Pemkab,14
16,1971043,RS Bakti Timah Pangkalpinang,RSU,C,Perusahaan,149
17,1971021,RS Umum Daerah Depati Hamzah,RSU,C,Pemkot,137
18,1906014,RS Umum Daerah Kab.Belitung Timur,RSU,C,Pemkab,100
19,1905024,RS Umum Daerah Kab. Bangka Selatan,RSU,C,Pemkab,66
20,1903013,RS Umum Daerah Sejiran Setason,RSU,C,Pemkab,102
21,1904013,RS Umum Daerah Kab.Bangka Tengah,RSU,C,Pemkab,93
22,1902010,RS Umum Daerah dr. H. Marsidi Judono,RSU,C,Pemkab,102
23,1901031,RS Umum Medika Stannia,RSU,C,Perusahaan,86
24,1901020,RS Jiwa Sungai Liat,RSK Jiwa,B,Pemprop,107
25,1901016,RS Umum Daerah Depati Bahrin,RSU,C,Pemkab,139
