No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"Total
Ranjang"
1,9105005,RS Bhayangkara Lodewijk Mandatjan,RSU,D,POLRI,33
2,9105004,RS Pratama Warmare,RSU,D,Pemkab,50
3,9107003,RS Maleo,RSU,D,Swasta,38
4,9107002,RS Kasih Herlina,RSU,D,Perorangan,43
5,9171047,RS Angkatan Laut dr. R. Oetojo,RSU,D,TNI AL,64
6,9103035,RS Umum Daerah Kabupaten Teluk Wondama,RSU,D,Pemkab,46
7,9171046,RS Mutiara,RSU,D,Perorangan,51
8,9108002,RS Umum Daerah Raja Ampat,RSU,D,Pemkab,62
9,9102034,RS Umum Daerah Kaimana,RSU,D,Pemkab,50
10,9104002,RS Umum Daerah Teluk Bintuni,RSU,C,Pemkab,22
11,9106013,RS Umum Daerah Scholoo Keyen,RSU,C,Pemkab,62
12,9271034,RS TK IV dr.Aryoko,RSU,Belum Ditetapkan,TNI AD,26
13,9171032,RS Umum Daerah Sele Be Solu,RSU,C,Pemkot,152
14,9171021,RS Pertamina Sorong,RSU,D,BUMN,12
15,9171010,RS Umum Daerah Kabupaten Sorong,RSU,C,Pemkab,164
16,9102033,RS AL dr. Azhar Zahir Manokwari,RSU,D,TNI AL,77
17,9102022,RS Pembantu Manokwari,RSU,Belum Ditetapkan,TNI AD,22
18,9102011,RS Umum Daerah Manokwari,RSU,C,Pemkab,161
19,9101010,RS Umum Daerah Fakfak,RSU,C,Pemkab,105
