No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,Total Ranjang
1,7201014,RS Pratama Bilabanggai Buko Selatan,RSU,D PRATAMA,Pemkab,20
2,7203018,RS Umum Pratama Paku,RSU,D PRATAMA,Pemkab,10
3,7206014,RS Umum Hj. Zubaeda Bantilan,RSU,D PRATAMA,Pemkab,36
4,7202017,RS Claire Medika,RSU,D,Perusahaan,14
5,7271133,RS Umum Tadulako Palu,RSU,C,Kementerian Lain,0
6,7205024,RS Umum Pratama Tambu,RSU,D,Pemkab,35
7,7208115,RS Umum Daerah Buluye Napoae Moutong,RSU,D,Pemkab,50
8,7271132,RS Samaritan Palu,RSU,C,Perorangan,97
9,7202016,RS Pratama dr. Abdul Chalik Masulili,RSU,D,Pemkab,25
10,7210002,RS Umum Daerah Tora Belo,RSU,C,Pemkab,135
11,7209002,RS Umum Daerah Wakai,RSU,D,Pemkab,61
12,7201012,RS Umum Daerah Trikora Salakan,RSU,C,Pemkab,72
13,7271131,RS Ibu dan Anak Care She,RSIA,C,Swasta,14
14,7271130,RS Ibu dan Anak Nasana Pura,RSIA,C,Swasta,46
15,7204044,RS TK 4 DR.YANTO.SP.OT,RSU,D,TNI AD,53
16,7208013,RS Umum Daerah Raja Tombolotutu,RSU,C,Pemkab,55
17,7271128,RS Umum Sis Al Jufri Palu,RSU,C,Organisasi Sosial,66
18,7208012,RS Ibu dan Anak Defina,RSIA,C,Perorangan,35
19,7271127,RS Bhayangkara Palu,RSU,C,POLRI,96
20,7201011,RS Umum Daerah Banggai,RSU,C,Pemkab,79
21,7271116,RS Ibu dan Anak Tinatapura,RSIA,C,Organisasi Sosial,20
22,7271095,RS Budi Agung Palu,RSU,C,Organisasi Sosial,103
23,7271084,RS Ibu dan Anak Sitti Masyithah,RSIA,C,Organisasi Sosial,0
24,7271051,RS Umum Daerah Madani Palu,RSU,C,Pemprop,194
25,7271040,RS Woodward,RSU,C,Organisasi Sosial,127
26,7271036,RS Umum Anutapura Palu,RSU,B,Pemkot,303
27,7271025,RS TK.IV Wirabuana Palu,RSU,C,TNI AD,104
28,7271014,RS Umum Daerah Undata Palu,RSU,B,Pemprop,326
29,7207013,RS Umum Daerah Buol,RSU,C,Pemkab,142
30,7206012,RS Umum Mokopido Toli-Toli,RSU,C,Pemkab,207
31,7205022,RS Umum Daerah Kabelota,RSU,C,Pemkab,101
32,7208011,RS Umum Daerah Anuntaloko Parigi,RSU,B,Pemkab,228
33,7204043,RS GKST Tentena,RSU,D,Organisasi Sosial,44
34,7209032,RS Umum Daerah Ampana,RSU,C,Pemkab,200
35,7204021,RS Umum Daerah Kolonedale,RSU,C,Pemkab,111
36,7204010,RS Umum Daerah Poso,RSU,C,Pemkab,189
37,7203016,RS Umum Daerah Morowali,RSU,C,Pemkab,95
38,7202015,RS Umum Daerah Kabupaten Banggai,RSU,B,Pemkab,266
