No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"Total
Ranjang"
1,7471010,RS Hermina Kendari,RSU,C,Swasta,0
2,7471009,RS Umum Tiara Sentosa,RSU,D,Perusahaan,0
3,7471008,RS Umum Aliyah III,RSU,D,Swasta,49
4,7403126,RS Umum Setia Bunda,RSU,D,Swasta,21
5,7414002,RS Umum Daerah Kabupaten Buton Tengah,RSU,D,Pemkab,43
6,7472003,RS Umum Murhum,RSU,D,Swasta,0
7,7471007,RS Umum Aliyah II,RSU,D,Perusahaan,50
8,7472002,RS Siloam Hospital Buton,RSU,C,Perusahaan,71
9,7402011,RS Umum Daerah Kabupaten Muna Barat,RSU,D,Pemkab,16
10,7401039,RS Umum Daerah Kabupaten Buton Selatan,RSU,D,Pemkab,26
11,7412002,RS Umum Daerah Kabupaten Konawe Kepulauan,RSU,D,Pemkab,25
12,7411908,RS Umum Daerah Kabupaten Kolaka Timur,RSU,D,Pemkab,24
13,7471005,RS Aliyah,RSU,D,Swasta,56
14,7471004,RS Umum Dewi Sartika,RSU,D,Swasta,49
15,7471002,RS Hati Mulia,RSU,D,Perorangan,31
16,7401024,RS Umum Daerah Kabupaten Buton Utara,RSU,D,Pemkab,33
17,7407012,RS Umum Daerah Kabupaten Wakatobi,RSU,D,Pemkab,74
18,7406036,RS Umum Daerah Kabupaten Bombana,RSU,C,Pemkab,62
19,7471125,RS Mitra Sakinah Idaman,RSU,Belum Ditetapkan,Organisasi Sosial,0
20,7408013,RS Umum Daerah Kab.Konawe Utara,RSU,D,Pemkab,51
21,7404034,RS Umum Daerah H.M.Djafar Harun,RSU,C,Pemkab,88
22,7404023,RS Antam Nikel Pomalaa,RSU,Belum Ditetapkan,BUMN,60
23,7404012,RS Benyamin Guluh Kolaka,RSU,C,Pemkab,148
24,7403114,RS Umum Daerah Konawe Selatan,RSU,C,Pemkab,83
25,7471103,RS Ibu dan Anak Permata Bunda,RSU,C,Swasta,24
26,7471092,RS Umum Daerah Kota Kendari,RSU,C,Pemkot,134
27,7471081,RS Griya Husada Bakti,RSU,D,Organisasi Sosial,0
28,7471070,RS Bhayangkara Kendari,RSU,C,POLRI,72
29,7471066,RS Jiwa Kendari,RSK Jiwa,B,Pemprop,205
30,7471055,RS PMI Kendari,RSU,Belum Ditetapkan,Organisasi Sosial,0
31,7471044,RS Santa Anna,RSU,C,Organisasi Sosial,59
32,7403033,RS Tk.IV Dr. R Ismoyo Kendari,RSU,C,TNI AD,63
33,7403022,RS Umum Daerah Konawe,RSU,C,Pemkab,121
34,7471011,RS Bahteramas Provinsi Sultra,RSU,B,Pemprop,368
35,7402010,RS Umum Daerah Raha,RSU,C,Pemkab,118
36,7401038,RS Umum Daerah Kabupaten Buton,RSU,C,Pemkab,86
37,7472016,RS Umum Daerah Kota Bau Bau,RSU,C,Pemkot,112
