No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"Total
Ranjang"
1,7103039,RS Umum Liung Paduli,RSU,D PRATAMA,Pemkab,0
2,7173002,RS Umum Daerah Anugerah Tomohon,RSU,C,Pemkot,106
3,7171104,RS Mata Provinsi Sulawesi Utara,RSK Mata,C,Pemprop,20
4,7109002,RS Umum Daerah Mitra Sehat,RSU,D,Pemkab,20
5,7171103,RS Umum Daerah Provinsi Sulawesi Utara,RSU,B,Pemprop,42
6,7174004,RS Ibu dan Anak Kasih Fatimah Kotamobagu,RSIA,C,Swasta,24
7,7171102,RS Umum Manado Medical Center,RSU,D,Swasta,98
8,7171101,RS Gigi dan Mulut PS. Pendidikan Dokter Gigi Fak.,RSK GM,Belum Ditetapkan,Kementerian Lain,0
9,7101037,RS Kinapit,RSU,D,Perusahaan,92
10,7107003,RS Umum Daerah Bolaang Mongondow Utara,RSU,D,Pemkab,71
11,7171099,RS Umum Siloam Hospital Manado,RSU,B,Perusahaan,203
12,7105030,RS Umum Daerah Amurang,RSU,D,Pemkab,64
13,7171098,RS Ibu dan Anak Kasih Ibu,RSIA,C,Swasta,0
14,7110002,RS Umum Daerah Bolaang Mongondow Selatan,RSU,D,Pemkab,46
15,7171097,RS TNI AU Lanud Sam Ratulangi,RSU,D,TNI AU,34
16,7171095,RS Ibu dan Anak Kirana Manado,RSIA,Belum Ditetapkan,Perorangan,27
17,7108037,RS Umum Daerah Tagulandang,RSU,C,Pemkab,58
18,7104038,RS Umum Daerah Talaud,RSU,C,Pemkab,87
19,7106018,RS Umum Daerah Maria Walanda Maramis,RSU,C,Pemkab,80
20,7109028,RSU Ratatotok - Buyat,RSU,C,Kemkes,48
21,7174035,RS Umum Daerah Kota Kotamobagu,RSU,C,Pemkot,187
22,7171094,RS Islam Sitti Maryam,RSU,C,Organisasi Sosial,68
23,7172036,RS Umum Daerah Bitung,RSU,C,Pemprop,214
24,7172025,Rumkital dr. Wahyu Slamet Bitung,RSU,D,TNI AL,60
25,7172014,RS Budi Mulia Bitung,RSU,C,Organisasi Katholik,98
26,7171083,RS Advent Manado,RSU,C,Organisasi Sosial,125
27,7171072,RS Permata Bunda,RSU,C,Organisasi Sosial,77
28,7171061,RS Bhayangkara Manado,RSU,C,POLRI,64
29,7171050,RS Pancaran Kasih,RSU,C,Organisasi Protestan,170
30,7171035,RS Jiwa Prof. Dr. V. L. Ratumbusyang,RSK Jiwa,B,Pemprop,180
31,7171024,RS TK. II R. W. Mongisidi,RSU,C,TNI AD,194
32,7171013,RSUP Prof. Dr. R. D. Kandou,RSU,A,Kemkes,854
33,7104027,RS Bergerak Kab.Kep.Talaud,RSU,D,Pemkab,30
34,7103026,RS Bergerak Kab.Kep.Sitaro,RSU,D,Pemkab,62
35,7103015,RS Umum Liun Kendage,RSU,C,Pemkab,185
36,7102120,RS Umum Noongan,RSU,C,Pemprop,60
37,7105116,RS Kalooran,RSU,C,Organisasi Protestan,172
38,7102095,RS Tonsea,RSU,D,Organisasi Protestan,26
39,7105084,RS Cantia Tompasobaru,RSU,D,Organisasi Katholik,48
40,7102073,RS Budi Setia,RSU,D,Organisasi Sosial,93
41,7102062,RS Hermana,RSU,C,Organisasi Katholik,100
42,7173051,RS Gunung Maria,RSU,C,Organisasi Katholik,183
43,7102040,RS Siloam GMIM Sonder,RSU,D,Organisasi Protestan,42
44,7173036,RS Bethesda GMIM Tomohon,RSU,C,Organisasi Protestan,178
45,7102014,RS Umum Dr.Sam Ratulangi,RSU,C,Pemkab,127
46,7174024,RS Monompia,RSU,C,Organisasi Protestan,121
47,7101013,RS Umum Datoe Binangkang,RSU,C,Pemkab,86
