No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,"sembunyi
Total Ranjang"
1,1219004,RSU Indrapura,RSU,Belum Ditetapkan,Pemprop,0
2,1275935,RS Umum Royal Maternity,RSU,C,Swasta,0
3,1275934,RS Jiwa Mahoni,RSK Jiwa,C,Swasta,2
4,1275933,UPT RS Khusus Paru Sumatera Utara,RSK PARU,B,Pemprop,0
5,1271033,RS Metta Medika II,RSU,D,Swasta,61
6,1224002,RS Pratama Kabupaten Nias Utara,RSU,D PRATAMA,Pemkab,0
7,1275932,RS Gigi dan Mulut Prima,RSK GM,C,Swasta,0
8,1207071,RS Harapan Bunda,RSU,D,Perusahaan,49
9,1212184,RS Jiwa Bina Karsa Tuntungan,RSK Jiwa,C,Swasta,94
10,1273108,RS Rasyida Siantar,RSU,C,Swasta,30
11,1207069,RS Dokter Takdir,RSU,D,Perusahaan,33
12,1223006,RS Umum Flora,RSU,D,Perusahaan,0
13,1212183,RS Umum Kasih Insani,RSU,C,Perusahaan,69
14,1207068,RS Umum Hartati Medical Centre,RSU,C,Swasta,37
15,1218029,RS Umum Melati Desa Pon,RSU,D,Swasta,42
16,1207067,RS Umum Karya Bakti Ujung Bandar,RSU,C,Perusahaan,67
17,1275931,RS Umum Eshmun,RSU,C,Perusahaan,101
18,1212182,RS Umum Noor,RSU,D,Swasta,15
19,1275930,RSU HERMINA MEDAN,RSU,C,Swasta,42
20,1208066,RSIA Utama,RSIA,C,Swasta,43
21,1275929,RS Ibu Dan Anak Artha Mahinrus,RSIA,C,Perusahaan,22
22,1275928,RS Khusus Mata Prima Vision,RSK Mata,C,Perusahaan,18
23,1213061,Rumah Sakit Umum Surya,RSU,D,Swasta,0
24,1275924,RS Umum Gran Theresia Herna,RSU,D,Swasta,56
25,1273107,RS Mata Siantar,RSK Mata,C,Swasta,25
26,1275923,RS Umum Mitra Medika Amplas,RSU,C,Swasta,186
27,1277027,RS Metta Medika,RSU,D,Perusahaan,65
28,1211127,RS Ibu dan Anak Mina Husada,RSIA,C,Swasta,34
29,1275922,RS Khusus Mata Provinsi Sumatera Utara,RSK Mata,B,Pemprop,25
30,1212181,RS Umum Mitra Medika,RSU,C,Swasta,202
31,1208065,RS Umum Radiva,RSU,D,Swasta,0
32,1274063,RS Chevani,RSU,C,Perusahaan,130
33,1209081,RS Umum Karya Husada,RSU,D,Swasta,53
34,1220002,RS Umum Berkah,RSU,D,Swasta,32
